,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
0,72.843,80.3326110839844,74.40915,14.0588009469576,2.1828971783223468,8.11491458186704,45.2589988708496,84.1389999389648,59.5,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,26.3
1,73.029,80.3326110839844,74.40915,14.0588009469576,2.1828971783223468,8.11491458186704,45.5810012817383,84.1389999389648,59.5,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,25.1
2,73.213,80.3326110839844,74.40915,14.0588009469576,2.1828971783223468,8.11491458186704,45.8709983825684,84.1389999389648,59.9000015258789,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,27.9
3,73.396,80.3326110839844,76.26566,14.0588009469576,2.1828971783223468,8.11491458186704,45.8889999389648,84.1389999389648,60.4000015258789,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,28.5
4,73.576,85.1910400390625,78.48781,14.0588009469576,2.1828971783223468,8.11491458186704,46.0579986572266,84.1389999389648,57.7200012207031,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,31.5
5,73.755,85.5663223266602,78.94955,14.0588009469576,2.1828971783223468,8.11491458186704,45.9329986572266,84.1389999389648,56.7999992370605,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,36.9
6,73.932,85.1942672729492,78.81052,14.0588009469576,2.1828971783223468,8.11491458186704,45.4669990539551,84.1389999389648,57.9000015258789,55.8991012573242,67.5036010742188,-3.98173267643483,30.3,49.9
7,74.107,80.8704299926758,78.51365,14.6580142724087,2.266401123243771,10.5409600845656,46.0550003051758,84.1389999389648,60.25,55.8991012573242,67.5036010742188,-1.78271827461929,30.3,34.2
8,74.28,79.1654891967773,78.53653,12.3428796259615,1.9015788983902455,10.9398841441773,46.6440010070801,84.1389999389648,61.942699432373,55.8991012573242,67.5036010742188,-0.185418160867184,30.3,29.4
9,74.451,80.1669616699219,77.93493,12.97029358554633,2.0089611542772845,10.9141002182726,44.8800010681152,84.3685989379883,61.5112991333008,54.8004989624023,67.0177001953125,-0.5865858286066237,30.3,25.5
10,74.62,76.5988998413086,77.80917,13.59770754513116,2.117380635871165,10.7588406781119,45.5629997253418,84.9532012939453,61.7949981689453,54.220401763916,67.7352981567383,-0.9877534963460632,30.3,20.9
11,74.787,74.7632522583008,77.68491,14.22512150471599,2.2268373431718875,10.3550895194753,44.0709991455078,84.40270233154294,61.0,53.21555137634275,67.0997009277344,-1.3889211640855028,30.3,19.8
12,74.952,76.435546875,78.65304,14.852535464300821,2.337331276179453,11.2762876384281,42.6230010986328,83.8522033691406,60.4280014038086,52.2107009887695,66.4641036987305,-1.7900888318249426,30.3,17.7
13,75.116,77.7337112426758,80.56529,15.47994942388565,2.44886243489386,10.3472691295894,42.625,83.8777008056641,60.7803001403809,51.9132995605469,67.3087005615234,-2.191256499564382,30.3,16.2
14,75.278,81.5473785400391,82.09918,16.10736338347048,2.56143081931511,10.7949052818749,40.701000213623,83.8422012329102,60.1870994567871,51.2443008422852,66.3386993408203,-2.5924241673038217,30.3,15.3
15,75.439,85.2694396972656,83.52317,16.734777343055313,2.6750364294432023,10.5706953686035,40.6660003662109,83.6411972045898,60.6514015197754,51.4772987365723,66.609001159668,-2.993591835043261,30.3,11.5
16,75.598,86.2102508544922,85.89363,17.36219130264014,2.789679265278136,10.7143870597919,40.2099990844727,82.4685974121094,60.3616981506348,50.8647994995117,66.4217987060547,-3.394759502782701,30.3,10.5
